Recipe_id,Recipe_name,Recipe_url,Recipe_image,Ingredients 
16,Chilaquiles,https://www.simplyrecipes.com/recipes/chilaquiles/,https://www.simplyrecipes.com/wp-content/uploads/2008/11/chilaquiles-rojos-horiz-a-1600.jpg,corntortillas+ Cornoil+ Salt +redchilesauce+ epazote +cream+ Cilantro+ onion+ Avocado
17,Broccoli Cheddar Bites,https://www.simplyrecipes.com/recipes/broccoli_cheddar_bites/,https://www.simplyrecipes.com/wp-content/uploads/2015/09/broccoli-cheddar-bites-horiz-a-1500.jpg,broccoli +eggs +bread +onion+ mayonnaise+ cheese +lemon +salt+ pepper
18,How to Make the Best Oatmeal,https://www.simplyrecipes.com/recipes/how_to_make_the_best_oatmeal/,https://www.simplyrecipes.com/wp-content/uploads/2019/01/How-to-Make-Oatmeal-2-768x512.jpg,oats+ milk +sugar+ strawberries+ orange
19,Peanut Butter Cookies,https://www.simplyrecipes.com/recipes/peanut_butter_cookies/,https://www.simplyrecipes.com/wp-content/uploads/2015/08/peanut-butter-cookies-horiz-a-1800-768x512.jpg,butter +sugar+ peanutbutter+ egg+ flour+ bakingsoda +bakingpowder +salt
20,Perfect Pie Crust,https://www.simplyrecipes.com/recipes/perfect_pie_crust/,https://www.simplyrecipes.com/wp-content/uploads/2005/06/perfect-pie-crust-horiz-a-1800-768x512.jpg,flour+ butter+ salt+ sugar 
21,Perfect Cheesecake,https://www.simplyrecipes.com/recipes/perfect_cheesecake/,https://www.simplyrecipes.com/wp-content/uploads/2014/12/perfect-cheesecake-horiz-a-1200-768x512.jpg,cracker +butter+ salt+ eggs+ cream +vanilla+ raspberries +sugar
22,Rice Pudding,https://www.simplyrecipes.com/recipes/rice_pudding/,https://www.simplyrecipes.com/wp-content/uploads/2008/04/rice-pudding-horiz-a-1600-768x548.jpg,milk+ rice+ salt+ egg +sugar+ vanilla+ cinnamon +raisins
23,Chocolate Banana Bread,https://www.simplyrecipes.com/recipes/chocolate_banana_bread/,https://www.simplyrecipes.com/wp-content/uploads/2015/01/chocolate-banana-bread-horiz-a-1200-768x512.jpg,bananas+ butter+ sugar +salt +egg+ vanilla+ flour+ cocoapowder+ bakingsoda +allspice+ chocolatechips
24,Walnut Snowball Cookies,https://www.simplyrecipes.com/recipes/walnut_snowball_cookies/,https://www.simplyrecipes.com/wp-content/uploads/2010/12/walnut-snowball-cookies-horiz-a-1600-768x512.jpg,flour +walnuts +vanilla+ butter+ salt+ sugar
25,Lemon Meringue Pie,https://www.simplyrecipes.com/recipes/lemon_meringue_pie/,https://www.simplyrecipes.com/wp-content/uploads/2016/05/lemon-meringue-pie-horiz-b-1600-768x512.jpg,salt+ lemonjuice+ lemon +butter+ cornstarch+ cream +sugar+ eggs +vanilla
26,Cream Cheese Frosting,https://www.simplyrecipes.com/recipes/cream_cheese_frosting/,https://www.simplyrecipes.com/wp-content/uploads/2008/02/cream-cheese-frosting-horiz-a-1600-768x522.jpg,butter+cream+ cheese+ sugar+ vanilla 
27,Oatmeal Raisin Cookies,https://www.simplyrecipes.com/recipes/oatmeal_raisin_cookies/,https://www.simplyrecipes.com/wp-content/uploads/2008/03/oatmeal-raisin-cookies-horiz-b-1400-768x541.jpg,butter+ sugar +eggs +vanilla+ flour+ salt +bakingsoda +cinnamon +nutmeg +raisins +walnuts+ oats
28,Gingerbread Cookies,https://www.simplyrecipes.com/recipes/gingerbread_man_cookies/,https://www.simplyrecipes.com/wp-content/uploads/2009/12/gingerbread-man-cookie-horiz-a-1800-768x512.jpg,flour +bakingsoda+ ginger+ cinnamon +cloves +nutmeg +salt+ pepper+ butter+ sugar+ eggs+ lemonjuice+ sugar
29,Baked Apples,https://www.simplyrecipes.com/recipes/baked_apples/,https://www.simplyrecipes.com/wp-content/uploads/2014/11/baked-apples-horiz-a-1800-768x495.jpg,apples +sugar+ cinnamon+ pecans+ raisins+ butter 
30,Homemade Apple Pie,https://www.simplyrecipes.com/recipes/old_fashioned_apple_pie/,https://www.simplyrecipes.com/wp-content/uploads/2014/09/apple-pie-horiz-a-1800-768x519.jpg,apples+ lemon +juice +sugar+ flour+ cinnamon+ allspice+ nutmeg +brandy+ vanilla+ cream+ eggs+ cream
31,Lemon Cheesecake,https://www.simplyrecipes.com/recipes/lemon_cheesecake/,https://www.simplyrecipes.com/wp-content/uploads/2019/05/lemon_cheesecake_hero2-768x512.jpg,cookies+ butter+ cream +cheese+ sugar+ lemon +eggs +cream +salt
32,Chocolate Fondue,https://www.simplyrecipes.com/recipes/chocolate_fondue/,https://www.simplyrecipes.com/wp-content/uploads/2008/02/chocolate-fondue-horiz-640.jpg,chocolate+ cream+ salt+ strawberries+ bananas+ appricots+ apples
33,Classic Coffee Cake,https://www.simplyrecipes.com/recipes/classic_coffee_cake/,https://www.simplyrecipes.com/wp-content/uploads/2019/04/Coffee-Cake-LEAD-1-768x512.jpg,flour +sugar +bakingpowder+ bakingsoda+ salt+ butter+ cream+ milk +eggs +vanillaextract +cinnamon
34,"No Fail, Sour Cream Pie Crust",https://www.simplyrecipes.com/recipes/sour_cream_pie_crust/ ,https://www.simplyrecipes.com/wp-content/uploads/2013/10/no-fail-sour-cream-pastry-crust-horiz-a-1200.jpg,flour +salt +sugar+ butter+ cream
35,Mexican Wedding Cookies,https://www.simplyrecipes.com/recipes/mexican_wedding_cookies/,https://www.simplyrecipes.com/wp-content/uploads/2016/10/mexican-wedding-cookies-horiz-a-2000-768x512.jpg,pecan+ butter+ sugar+ vanilla+ flour +salt
36,Lemon Pound Cake,https://www.simplyrecipes.com/recipes/lemon_pound_cake/,https://www.simplyrecipes.com/wp-content/uploads/2019/04/Lemon-Pound-Cake-LEAD-HORIZONTAL-768x512.jpg,bread +flour+ bakingsoda+ salt +cream+ egg +butter +sugar+ lemonjuice
37,Instant Pot Easy-Peel Hard Boiled Eggs,https://www.simplyrecipes.com/recipes/easy_peel_hard_boiled_eggs_in_the_pressure_cooker/,https://www.simplyrecipes.com/wp-content/uploads/2017/04/2017-04-11-Pressure-Cooker-Hardboiled-Eggs-14-768x510.jpg,eggs
38,Best Ever Tuna Salad Sandwich,https://www.simplyrecipes.com/recipes/tuna_salad_sandwich/,https://www.simplyrecipes.com/wp-content/uploads/2018/07/Add-ins-for-tuna-salad-2-768x512.jpg,tuna+ cottagecheese+ mayonnaise+ onion+ celery +capers+ lemonjuice+ dill+ parsley +mustard+ bread +Lettuce +tomatoes
39,How to Make a Grilled Cheese Sandwich,https://www.simplyrecipes.com/recipes/how_to_make_a_grilled_cheese_sandwich/,https://www.simplyrecipes.com/wp-content/uploads/2020/01/Grilled-Cheese-LEAD-10-768x512.jpg,bread+ cheese +salt +butter
40,Easy Salmon Foil Packets with Vegetables,https://www.simplyrecipes.com/recipes/cooking_for_two_easy_salmon_and_vegetable_foil_packets/,https://www.simplyrecipes.com/wp-content/uploads/2020/01/Baked-Harissa-Salmon-METHOD-10-768x512.jpg,mayonnaise+ harissa+ honey+ limejuice+ oil+ potato +salt +pepper +peas +tomatoes+ limejuice +salmon 
41,Chinese Orange Chicken,https://www.simplyrecipes.com/recipes/chinese_orange_chicken/,https://www.simplyrecipes.com/wp-content/uploads/2020/01/Chinese-Orange-Chicken-Lead-1-768x512.jpg,orange+ orangejuice +sauce +vinegar+ cornstarch+ oil+ sugar+ chicken+ eggs +salt +pepper +cornstarch+ flour+ garlic+ shallot
42,Quesadilla,https://www.simplyrecipes.com/recipes/quesadilla/,https://www.simplyrecipes.com/wp-content/uploads/2006/05/quesadilla-hoirz-640.jpg,flour +tortillas+ cheese +butter+ mushrooms +onions +olives+ tomatoes+ Chicken +Avocado +Lettuce +vinegar+ Salt
43,Italian Grilled Cheese Sandwiches,https://www.simplyrecipes.com/recipes/italian_grilled_cheese_sandwiches/,https://www.simplyrecipes.com/wp-content/uploads/2019/05/EYF-Italian-Grilled-Cheese-LEAD-4-768x512.jpg,cauliflower +olives +banana +peppers+ bread+ cheese +salami+ prosciutto+ pepperoni+ basil +butter
44,Salmon Patties,https://www.simplyrecipes.com/recipes/salmon_patties/,https://www.simplyrecipes.com/wp-content/uploads/2015/12/Salmon-Patties-LEAD-4-768x512.jpg,salmon+ bread+ onion +garlic+ dill+ pepper+ flour+ egg +paprika +lemon +lemonjuice +salt +pepper +oil
45,Quick and Easy Egg Salad Sandwich,https://www.simplyrecipes.com/recipes/egg_salad_sandwich/,https://www.simplyrecipes.com/wp-content/uploads/2015/04/Egg-Salad-Sandwich-LEAD-4-768x512.jpg,egg +mayonnaise+ celery+ onion+ Salt+ pepper+ Lettuce +bread
46,Apple Chicken Quesadilla,https://www.simplyrecipes.com/recipes/apple_chicken_quesadilla/,https://www.simplyrecipes.com/wp-content/uploads/2006/10/apple-chicken-quesadilla-horiz-a-1800-768x513.jpg,Flour +tortillas+ chicken +cheddar +apple +salsa
47,Avocado Lettuce Tomato Sandwich (ALT),https://www.simplyrecipes.com/recipes/avocado_lettuce_tomato_sandwich_alt/,https://www.simplyrecipes.com/wp-content/uploads/2013/08/avocado-lettuce-tomato-sandwich-horiz-a-1800-768x512.jpg,bread +avocado+ Lettuce +tomato+ salt+ Mayonnaise
48,Apple Peanut Butter Sandwich,https://www.simplyrecipes.com/recipes/apple_peanut_butter_sandwich/,https://www.simplyrecipes.com/wp-content/uploads/2011/05/apple-pb-sandwich-iphone.jpg,bread+ apple+ peanutbutter
49,Butternut Squash and Black Bean Skillet Dinner,https://www.simplyrecipes.com/recipes/butternut_squash_and_black_bean_skillet_dinner/,https://www.simplyrecipes.com/wp-content/uploads/2020/01/Quinoa-Squash-Skillet-LEAD-1-768x512.jpg,squash+ oil+ salt+ pepper+ quinoa +onion+ garlic+ chilipowder +cumin +oregano +vegetablestock +tomatoes+ beans +spinach+ pepitas+ cheese
50,Creamy Tortellini Soup with Sausage and Spinach,https://www.simplyrecipes.com/recipes/creamy_tortellini_soup_with_sausage_and_spinach/,https://www.simplyrecipes.com/wp-content/uploads/2020/03/Creamy-Tortellini-Soup-LEAD-15-768x512.jpg,oil +sausage +onion+ mushrooms+ salt+ carrots+ garlic+ chickenstock +cheese +spinach+ beans+ vinegar+ milk
51,Chicken Freezer Burritos,https://www.simplyrecipes.com/recipes/chicken_freezer_burritos/,https://www.simplyrecipes.com/wp-content/uploads/2020/01/Freezer-Chicken-Burritos-LEAD-1-768x512.jpg,rice +lime +cilantro +peppers+ onion+ oil+ chicken +beans +salt+ chili+ cumin +salsa+ cheese +flour+ tortillas+ jalapeno +guacamole +avocados +jalapeños +cilantro+ salt
